instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 RangeL/Range300_ins_1000_3.txt,1600.83,11,219.664,1599.42,11,308.263,1605.29,12,202.382,1614.98,10,952.134,1605.48,12,87.487,1600.18,10,379.887,1599.42,10,610.235,1600.18,10,34.166,1600.18,10,68.496,1600.83,11,513.454,1599.42,1602.68,337.62
 RangeL/Range300_ins_1500_1.txt,1605.63,11,129.101,1599.87,10,409.909,1599.87,10,536.313,1604.47,13,422.076,1599.71,11,238.944,1599.87,11,542.309,1600.24,10,717.195,1598.89,11,361.222,1599.87,10,542.947,1606.75,12,523.311,1598.89,1601.52,442.33
 RangeL/Range300_ins_1500_2.txt,1718.71,10,681.422,1680.79,11,593.833,1696.49,11,976.393,1676.94,11,259.146,1677.01,12,736.567,1718.71,10,496.924,1675.36,11,836.196,1683.5,11,219.426,1717.95,12,565.687,1680.02,11,248.407,1675.36,1692.55,561.4
 RangeL/Range300_ins_1500_3.txt,1649.32,11,135.244,1667.83,10,143.887,1667.83,10,692.02,1686.74,11,660.089,1649.49,11,110.634,1668.01,10,515.19,1649.95,12,416.003,1666.42,13,697.778,1683.47,10,166.669,1650.77,12,599.506,1649.32,1663.98,413.7
 RangeL/Range300_ins_3000_1.txt,1729.41,14,893.404,1665.64,12,1002.254,1714.64,14,977.675,1699,12,1000.523,1796.14,12,948.703,1817.6,14,1000.339,1682.65,11,1000.708,1823.17,13,1000.006,1686.62,13,949.795,1723.59,11,986.439,1665.64,1733.85,975.98
 RangeL/Range300_ins_3000_2.txt,1735.46,12,980.475,1679.79,14,992.413,1697.92,12,857.545,1647.59,11,996.403,1808.46,13,998.472,1725.97,13,922.865,1693.59,12,976.521,1758.83,14,1003.405,1673.91,12,979.999,1669.16,14,944.542,1647.59,1709.07,965.26
 RangeL/Range300_ins_3000_3.txt,1656.04,13,966.045,1788.29,14,992.721,1808.45,13,992.643,1782.39,13,869.578,1670.32,11,999.827,1704.12,11,1000.883,1660.4,15,1004.673,1858.29,10,986.259,1699.05,13,1002.879,1737.28,10,985.85,1656.04,1736.46,980.14
 dtp_10_15_0.txt,5.891876,4,0.002,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.891876,4,0,5.89,5.89,0
 dtp_10_15_1.txt,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.423279,5,0,14.42,14.42,0
 dtp_10_15_2.txt,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.350388,4,0,14.35,14.35,0
 dtp_15_20_0.txt,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.874497,6,0,18.87,18.87,0
 dtp_15_20_1.txt,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.029526,6,0,23.03,23.03,0
 dtp_15_20_2.txt,24.948837,6,0,24.948837,6,0.009,24.948837,6,0,24.948837,6,0,24.948837,6,0.012,24.948837,6,0.004,24.948837,6,0,24.948837,6,0,24.948837,6,0,24.948837,6,0,24.95,24.95,0
 dtp_15_30_0.txt,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.196396,5,0,18.2,18.2,0
 dtp_15_30_1.txt,8.317109,4,0.013,8.317109,4,0.013,8.317109,4,0.033,8.317109,4,0,8.317109,4,0,8.317109,4,0.008,8.317109,4,0.016,8.317109,4,0.012,8.317109,4,0.008,8.317109,4,0,8.32,8.32,0.01
